territorio_nombre,eleccion,corporacion,vuelta,circunscripcion,cand_total,hhi,n_unidades,ganador,votos_ganador,segundo,votos_segundo,blancos,nulos,no_marcados,validos,total_marcas,margen_abs,margen_pp,top1_pp,blanco_pp,nep,fragmentacion
Comuna 14,Congreso 2026,Cámara,NA,5,1683,0.1549333466078774,43,CONSEJO COMUNITARIO EL NARANJO,600,CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS CUENCA RÍO OVEJAS,133,464,345,240,2147,2732,467,21.75128085700978,27.945971122496506,21.6115510013973,6.454388431503462,0.8450666533921226
Comuna 14,Congreso 2026,Senado,NA,0,44403,0.33965178288499986,16,PACTO HISTÓRICO SENADO,24988,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,3124,1544,1838,1396,45947,49181,21864,47.58526127930006,54.38439941671926,3.360393496855072,2.9441918175903776,0.6603482171150001
Comuna 14,Congreso 2026,Senado,NA,4,97,0.16718035923052396,10,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",24,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,21,115,73,62,212,347,3,1.4150943396226416,11.320754716981133,54.24528301886793,5.9815638906548,0.832819640769476
Comuna 14,Presidencia 2026,Presidencia,1V,0,59061,0.5505697269277849,11,IVÁN CEPEDA CASTRO,41992,ABELARDO DE LA ESPRIELLA,12214,1545,1144,262,60606,62012,29778,49.133749133749134,69.28686928686929,2.5492525492525493,1.8163003723071833,0.44943027307221506
Comuna 14,Presidencia 2026,Presidencia,2V,0,69546,0.6563352484066669,2,IVÁN CEPEDA CASTRO,54217,ABELARDO DE LA ESPRIELLA,15329,948,746,92,70494,71332,38888,55.16497857973728,76.91009163900475,1.3447953017278067,1.5236116031062186,0.3436647515933331
Comuna 15,Congreso 2026,Consultas,NA,0,6930,0.5483268471147258,3,LA GRAN CONSULTA POR COLOMBIA,4919,FRENTE POR LA VIDA,1245,0,1253,1119,6930,9302,3674,53.01587301587302,70.98124098124097,0.0,1.8237297795319716,0.4516731528852742
Comuna 15,Congreso 2026,Cámara,NA,1,32707,0.27439202544262375,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,15971,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,3421,933,1243,693,33640,35576,12550,37.30677764565993,47.476218787158146,2.7734839476813318,3.644420782225332,0.7256079745573762
Comuna 15,Congreso 2026,Cámara,NA,4,87,0.14731140177037916,10,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",20,PARTIDO INDÍGENA COLOMBIANO P.I.C,14,66,14,54,153,221,6,3.9215686274509802,13.071895424836603,43.13725490196079,6.7883408071748885,0.8526885982296208
Comuna 15,Congreso 2026,Cámara,NA,5,1631,0.14131437909209255,46,CONSEJO COMUNITARIO EL NARANJO,536,CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS CUENCA RÍO OVEJAS,150,347,296,240,1978,2514,386,19.514661274014156,27.098078867542974,17.542972699696662,7.076420718293036,0.8586856209079075
Comuna 15,Congreso 2026,Senado,NA,0,34740,0.2825833869431908,16,PACTO HISTÓRICO SENADO,17442,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,3273,1132,1306,995,35872,38173,14169,39.49877341659233,48.6228813559322,3.1556645851917935,3.5387784498493366,0.7174166130568091
Comuna 15,Congreso 2026,Senado,NA,4,97,0.19056222765437345,10,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",31,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,19,91,74,96,188,358,12,6.382978723404255,16.48936170212766,48.40425531914894,5.247629670942555,0.8094377723456265
Comuna 15,Presidencia 2026,Presidencia,1V,0,44542,0.5209898754296194,11,IVÁN CEPEDA CASTRO,30421,ABELARDO DE LA ESPRIELLA,10133,1098,767,207,45640,46614,20288,44.452234881682735,66.65425065731813,2.40578439964943,1.9194230966108097,0.4790101245703806
Comuna 15,Presidencia 2026,Presidencia,2V,0,51714,0.6343638909555314,2,IVÁN CEPEDA CASTRO,39261,ABELARDO DE LA ESPRIELLA,12453,715,503,68,52429,53000,26808,51.13200709530985,74.88412901256937,1.3637490701710886,1.5763822850851699,0.36563610904446864
Comuna 16,Congreso 2026,Consultas,NA,0,8567,0.6175509247148613,3,LA GRAN CONSULTA POR COLOMBIA,6570,FRENTE POR LA VIDA,1286,0,1283,799,8567,10649,5284,61.67853390918642,76.6896229718688,0.0,1.6192996560756914,0.3824490752851387
