municipio_codigo,municipio,dane_codigo,unidad,votos_1v,votos_2v,delta_abs,val_1V,val_2V,pp_1v,pp_2v,delta_pp
046,EL CAIRO,76246,VOTO EN BLANCO,55,59,4,2781,3152,1.9777058612010068,1.8718274111675128,-0.10587845003349394
046,EL CAIRO,76246,ÓSCAR MAURICIO LIZCANO ARANGO,6,0,-6,2781,3152,0.2157497303128371,0.0,-0.2157497303128371
049,EL CERRITO,76248,ABELARDO DE LA ESPRIELLA,7562,9325,1763,31129,34637,24.292460406694723,26.92207754713168,2.629617140436956
049,EL CERRITO,76248,CLAUDIA LÓPEZ,118,0,-118,31129,34637,0.379067750329275,0.0,-0.379067750329275
049,EL CERRITO,76248,GUSTAVO MATAMOROS CAMACHO,9,0,-9,31129,34637,0.028911947059012497,0.0,-0.028911947059012497
049,EL CERRITO,76248,IVÁN CEPEDA CASTRO,20795,24977,4182,31129,34637,66.80265989912942,72.1107486214164,5.308088722286982
049,EL CERRITO,76248,MIGUEL URIBE LONDOÑO,23,0,-23,31129,34637,0.07388608692858749,0.0,-0.07388608692858749
049,EL CERRITO,76248,PALOMA VALENCIA LASERNA,1182,0,-1182,31129,34637,3.7971023804169746,0.0,-3.7971023804169746
049,EL CERRITO,76248,RAÚL SANTIAGO BOTERO JARAMILLO,217,0,-217,31129,34637,0.6970991679784124,0.0,-0.6970991679784124
049,EL CERRITO,76248,ROY LEONARDO BARRERAS MONTEALEGRE,11,0,-11,31129,34637,0.03533682418323749,0.0,-0.03533682418323749
049,EL CERRITO,76248,SERGIO FAJARDO VALDERRAMA,666,0,-666,31129,34637,2.1394840823669248,0.0,-2.1394840823669248
