territorio_nombre,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
Comuna 1,Presidencia 2026,Presidencia,1V,0,SERGIO FAJARDO VALDERRAMA,845,22669,533,23202,3.641927420049996
Comuna 1,Presidencia 2026,Presidencia,1V,0,SONDRA MACOLLINS GARVIN PINTO,23,22669,533,23202,0.09912938539781053
Comuna 1,Presidencia 2026,Presidencia,1V,0,ÓSCAR MAURICIO LIZCANO ARANGO,36,22669,533,23202,0.1551590380139643
Comuna 1,Presidencia 2026,Presidencia,2V,0,ABELARDO DE LA ESPRIELLA,7425,25605,406,26011,28.545615316596823
Comuna 1,Presidencia 2026,Presidencia,2V,0,IVÁN CEPEDA CASTRO,18180,25605,406,26011,69.89350659336434
Comuna 10,Congreso 2026,Consultas,NA,0,"CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN",1059,14184,0,14184,7.466159052453469
Comuna 10,Congreso 2026,Consultas,NA,0,FRENTE POR LA VIDA,1570,14184,0,14184,11.068809926677947
Comuna 10,Congreso 2026,Consultas,NA,0,LA GRAN CONSULTA POR COLOMBIA,11555,14184,0,14184,81.46503102086858
Comuna 10,Congreso 2026,Cámara,NA,1,AHORA COLOMBIA,2889,39084,1204,40288,7.1708697378872115
Comuna 10,Congreso 2026,Cámara,NA,1,COALICIÓN FUERZA CIUDADANA,113,39084,1204,40288,0.28048054011119933
Comuna 10,Congreso 2026,Cámara,NA,1,COALICIÓN LIBERAL - COLOMBIA RENACIENTE,2949,39084,1204,40288,7.319797458300238
Comuna 10,Congreso 2026,Cámara,NA,1,CR-CJL-LIGA DE GOBERNANTES,2369,39084,1204,40288,5.8801628276409845
Comuna 10,Congreso 2026,Cámara,NA,1,FRENTE AMPLIO UNITARIO,225,39084,1204,40288,0.5584789515488483
Comuna 10,Congreso 2026,Cámara,NA,1,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",22,39084,1204,40288,0.05460683081810961
Comuna 10,Congreso 2026,Cámara,NA,1,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,15052,39084,1204,40288,37.361000794281175
Comuna 10,Congreso 2026,Cámara,NA,1,MOVIMIENTO SALVACIÓN NACIONAL,2188,39084,1204,40288,5.430897537728356
Comuna 10,Congreso 2026,Cámara,NA,1,PARTIDO ALIANZA VERDE,1686,39084,1204,40288,4.184868943606037
Comuna 10,Congreso 2026,Cámara,NA,1,PARTIDO CENTRO DEMOCRÁTICO,5789,39084,1204,40288,14.369042891183478
Comuna 10,Congreso 2026,Cámara,NA,1,PARTIDO CONSERVADOR COLOMBIANO,1603,39084,1204,40288,3.9788522637013504
Comuna 10,Congreso 2026,Cámara,NA,1,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,4082,39084,1204,40288,10.132049245432883
Comuna 10,Congreso 2026,Cámara,NA,1,PARTIDO DEMÓCRATA COLOMBIANO,77,39084,1204,40288,0.19112390786338362
Comuna 10,Congreso 2026,Cámara,NA,1,PARTIDO POLÍTICO OXÍGENO,40,39084,1204,40288,0.09928514694201747
Comuna 10,Congreso 2026,Cámara,NA,4,ACMIZSAM,2,61,26,87,2.2988505747126435
Comuna 10,Congreso 2026,Cámara,NA,4,ASOCIACIÓN DE CABILDOS INDÍGENAS ZENÚ ORICO,1,61,26,87,1.1494252873563218
Comuna 10,Congreso 2026,Cámara,NA,4,"ASOCIACIÓN NACIONAL INDÍGENA DE COLOMBIA ""ANIC""",4,61,26,87,4.597701149425287
Comuna 10,Congreso 2026,Cámara,NA,4,CABILDO INDÉGENA TEVIS,1,61,26,87,1.1494252873563218
Comuna 10,Congreso 2026,Cámara,NA,4,FUERZA ANCESTRAL,6,61,26,87,6.896551724137931
Comuna 10,Congreso 2026,Cámara,NA,4,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",22,61,26,87,25.287356321839084
Comuna 10,Congreso 2026,Cámara,NA,4,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,9,61,26,87,10.344827586206897
Comuna 10,Congreso 2026,Cámara,NA,4,PARTIDO INDÉGENA ZENÚ (PIZ),1,61,26,87,1.1494252873563218
Comuna 10,Congreso 2026,Cámara,NA,4,PARTIDO INDÍGENA COLOMBIANO P.I.C,15,61,26,87,17.24137931034483
Comuna 10,Congreso 2026,Cámara,NA,5,AFRO CYC,2,1113,270,1383,0.14461315979754158
Comuna 10,Congreso 2026,Cámara,NA,5,AFROEMPRENDIMIENTO,11,1113,270,1383,0.7953723788864787
Comuna 10,Congreso 2026,Cámara,NA,5,AFROSLIBRES,10,1113,270,1383,0.7230657989877078
Comuna 10,Congreso 2026,Cámara,NA,5,"ASOCIACIÓN AFROCOLOMBIANA ""ASOMAKIDZON""",4,1113,270,1383,0.28922631959508316
Comuna 10,Congreso 2026,Cámara,NA,5,ASOCIACIÓN AFRODESCENDIENTE PACÍFICO POR LA PAZ,8,1113,270,1383,0.5784526391901663
Comuna 10,Congreso 2026,Cámara,NA,5,ASOCONEG,2,1113,270,1383,0.14461315979754158
Comuna 10,Congreso 2026,Cámara,NA,5,C.C. DE LA COMUNIDAD NEGRA DE LA VEREDA EL ESFUERZO,42,1113,270,1383,3.036876355748373
Comuna 10,Congreso 2026,Cámara,NA,5,COCOPEMA,5,1113,270,1383,0.3615328994938539
Comuna 10,Congreso 2026,Cámara,NA,5,COMUNIDAD AFROCOLOMBIANA DE LA SIERRA NEVADA,5,1113,270,1383,0.3615328994938539
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO AFROZABALETAS,8,1113,270,1383,0.5784526391901663
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO AFROÉTNICO DE RISARALDA,1,1113,270,1383,0.07230657989877079
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO ALTO MIRA Y FRONTERA,1,1113,270,1383,0.07230657989877079
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO CASIMIRO MEZA MENDOZA-COCONEBO,1,1113,270,1383,0.07230657989877079
Comuna 10,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS CUENCA RÍO OVEJAS,71,1113,270,1383,5.1337671728127265
