municipio_codigo,municipio,zona,eleccion,corporacion,vuelta,circunscripcion,cand_total,hhi,n_unidades,ganador,votos_ganador,segundo,votos_segundo,blancos,nulos,no_marcados,validos,total_marcas,margen_abs,margen_pp,top1_pp,blanco_pp,nep,fragmentacion
001,CALI,05,Presidencia 2026,Presidencia,1V,0,32024.0,0.41356380837654294,11,IVÁN CEPEDA CASTRO,17072.0,ABELARDO DE LA ESPRIELLA,11297.0,596.0,233.0,63.0,32620.0,32916.0,5775.0,17.703862660944207,52.33599019006744,1.8270999386879216,2.418006556051241,0.5864361916234571
001,CALI,05,Presidencia 2026,Presidencia,2V,0,34496.0,0.5240782148305329,2,IVÁN CEPEDA CASTRO,21033.0,ABELARDO DE LA ESPRIELLA,13463.0,546.0,194.0,21.0,35042.0,35257.0,7570.0,21.602648250670622,60.02225900348154,1.558130243707551,1.9081121323147583,0.47592178516946715
001,CALI,06,Congreso 2026,Consultas,NA,0,12914.0,0.6849698014160653,3,LA GRAN CONSULTA POR COLOMBIA,10553.0,FRENTE POR LA VIDA,1381.0,0.0,1449.0,559.0,12914.0,14922.0,9172.0,71.0236952144959,81.71751587424501,0.0,1.459918375865126,0.31503019858393466
001,CALI,06,Congreso 2026,Cámara,NA,1,35067.0,0.2183449152629324,14,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,14344.0,PARTIDO CENTRO DEMOCRÁTICO,5205.0,1138.0,398.0,179.0,36205.0,36782.0,9139.0,25.24236983842011,39.618837177185476,3.1432122634995165,4.579909721258191,0.7816550847370676
001,CALI,06,Congreso 2026,Cámara,NA,4,25.0,0.1744,9,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",7.0,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,6.0,38.0,10.0,13.0,63.0,86.0,1.0,1.5873015873015872,11.11111111111111,60.317460317460316,5.73394495412844,0.8256
001,CALI,06,Congreso 2026,Cámara,NA,5,1013.0,0.25204522841754134,36,CONSEJO COMUNITARIO EL NARANJO,474.0,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,137.0,250.0,85.0,40.0,1263.0,1388.0,337.0,26.68250197941409,37.52969121140142,19.79414093428345,3.967541882377504,0.7479547715824586
001,CALI,06,Congreso 2026,Senado,NA,0,36385.0,0.20931145394021372,16,PACTO HISTÓRICO SENADO,14622.0,PARTIDO CENTRO DEMOCRÁTICO,5117.0,1197.0,410.0,260.0,37582.0,38252.0,9505.0,25.291362886488212,38.90692352722048,3.185035389282103,4.777569412353483,0.7906885460597863
001,CALI,06,Congreso 2026,Senado,NA,4,44.0,0.2024793388429752,8,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",12.0,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",11.0,33.0,12.0,7.0,77.0,96.0,1.0,1.2987012987012987,15.584415584415584,42.857142857142854,4.938775510204082,0.7975206611570248
001,CALI,06,Presidencia 2026,Presidencia,1V,0,45466.0,0.3955402643803633,11,IVÁN CEPEDA CASTRO,22093.0,ABELARDO DE LA ESPRIELLA,17816.0,966.0,198.0,55.0,46432.0,46685.0,4277.0,9.21131977946244,47.58140937284631,2.0804617505168848,2.528187620965865,0.6044597356196366
001,CALI,06,Presidencia 2026,Presidencia,2V,0,47526.0,0.5081991979782099,2,IVÁN CEPEDA CASTRO,26806.0,ABELARDO DE LA ESPRIELLA,20720.0,908.0,181.0,11.0,48434.0,48626.0,6086.0,12.565553123838628,55.34541850765991,1.874716108518809,1.9677323458563922,0.4918008020217901
