territorio_nombre,unidad,votos_1v,votos_2v,delta_abs,val_1V,val_2V,pp_1v,pp_2v,delta_pp
Comuna 15,RAÚL SANTIAGO BOTERO JARAMILLO,277,0,-277,45640,52429,0.6069237510955302,0.0,-0.6069237510955302
Comuna 15,ROY LEONARDO BARRERAS MONTEALEGRE,23,0,-23,45640,52429,0.050394390885188434,0.0,-0.050394390885188434
Comuna 15,SERGIO FAJARDO VALDERRAMA,1246,0,-1246,45640,52429,2.7300613496932513,0.0,-2.7300613496932513
Comuna 15,SONDRA MACOLLINS GARVIN PINTO,50,0,-50,45640,52429,0.10955302366345311,0.0,-0.10955302366345311
Comuna 15,VOTO EN BLANCO,1098,715,-383,45640,52429,2.40578439964943,1.3637490701710886,-1.0420353294783415
Comuna 15,ÓSCAR MAURICIO LIZCANO ARANGO,79,0,-79,45640,52429,0.17309377738825593,0.0,-0.17309377738825593
Comuna 16,ABELARDO DE LA ESPRIELLA,13777,16254,2477,45013,49045,30.60671361606647,33.1409929656438,2.534279349577325
Comuna 16,CLAUDIA LÓPEZ,329,0,-329,45013,49045,0.7308999622331326,0.0,-0.7308999622331326
Comuna 16,GUSTAVO MATAMOROS CAMACHO,20,0,-20,45013,49045,0.04443160864639104,0.0,-0.04443160864639104
Comuna 16,IVÁN CEPEDA CASTRO,25815,32022,6207,45013,49045,57.35009886032923,65.29105923131819,7.940960370988954
Comuna 16,MIGUEL URIBE LONDOÑO,40,0,-40,45013,49045,0.08886321729278208,0.0,-0.08886321729278208
Comuna 16,PALOMA VALENCIA LASERNA,2005,0,-2005,45013,49045,4.454268766800702,0.0,-4.454268766800702
Comuna 16,RAÚL SANTIAGO BOTERO JARAMILLO,220,0,-220,45013,49045,0.48874769511030147,0.0,-0.48874769511030147
Comuna 16,ROY LEONARDO BARRERAS MONTEALEGRE,38,0,-38,45013,49045,0.08442005642814297,0.0,-0.08442005642814297
Comuna 16,SERGIO FAJARDO VALDERRAMA,1667,0,-1667,45013,49045,3.703374580676693,0.0,-3.703374580676693
Comuna 16,SONDRA MACOLLINS GARVIN PINTO,39,0,-39,45013,49045,0.08664163686046253,0.0,-0.08664163686046253
Comuna 16,VOTO EN BLANCO,970,769,-201,45013,49045,2.1549330193499654,1.5679478030380265,-0.5869852163119389
Comuna 16,ÓSCAR MAURICIO LIZCANO ARANGO,93,0,-93,45013,49045,0.20660698020571835,0.0,-0.20660698020571835
Comuna 17,ABELARDO DE LA ESPRIELLA,42463,49702,7239,83866,85659,50.63196050843012,58.02309156072333,7.391131052293211
Comuna 17,CLAUDIA LÓPEZ,586,0,-586,83866,85659,0.6987336942265042,0.0,-0.6987336942265042
Comuna 17,GUSTAVO MATAMOROS CAMACHO,10,0,-10,83866,85659,0.011923783177926693,0.0,-0.011923783177926693
Comuna 17,IVÁN CEPEDA CASTRO,26897,34205,7308,83866,85659,32.07139961366943,39.931589208372735,7.860189594703307
Comuna 17,MIGUEL URIBE LONDOÑO,14,0,-14,83866,85659,0.01669329644909737,0.0,-0.01669329644909737
Comuna 17,PALOMA VALENCIA LASERNA,5942,0,-5942,83866,85659,7.085111964324041,0.0,-7.085111964324041
Comuna 17,RAÚL SANTIAGO BOTERO JARAMILLO,162,0,-162,83866,85659,0.19316528748241243,0.0,-0.19316528748241243
Comuna 17,ROY LEONARDO BARRERAS MONTEALEGRE,58,0,-58,83866,85659,0.06915794243197482,0.0,-0.06915794243197482
Comuna 17,SERGIO FAJARDO VALDERRAMA,6415,0,-6415,83866,85659,7.649106908639973,0.0,-7.649106908639973
Comuna 17,SONDRA MACOLLINS GARVIN PINTO,49,0,-49,83866,85659,0.05842653757184079,0.0,-0.05842653757184079
Comuna 17,VOTO EN BLANCO,1214,1752,538,83866,85659,1.4475472778003005,2.045319230903933,0.5977719531036325
Comuna 17,ÓSCAR MAURICIO LIZCANO ARANGO,56,0,-56,83866,85659,0.06677318579638948,0.0,-0.06677318579638948
Comuna 18,ABELARDO DE LA ESPRIELLA,17001,20296,3295,53333,57695,31.877074231713948,35.17809168905451,3.3010174573405635
Comuna 18,CLAUDIA LÓPEZ,343,0,-343,53333,57695,0.6431290195563723,0.0,-0.6431290195563723
Comuna 18,GUSTAVO MATAMOROS CAMACHO,14,0,-14,53333,57695,0.0262501640635254,0.0,-0.0262501640635254
Comuna 18,IVÁN CEPEDA CASTRO,29561,36478,6917,53333,57695,55.427221420133876,63.22558280613572,7.798361386001844
Comuna 18,MIGUEL URIBE LONDOÑO,44,0,-44,53333,57695,0.08250051562822268,0.0,-0.08250051562822268
Comuna 18,PALOMA VALENCIA LASERNA,2634,0,-2634,53333,57695,4.938780867380421,0.0,-4.938780867380421
Comuna 18,RAÚL SANTIAGO BOTERO JARAMILLO,279,0,-279,53333,57695,0.5231282695516847,0.0,-0.5231282695516847
Comuna 18,ROY LEONARDO BARRERAS MONTEALEGRE,38,0,-38,53333,57695,0.07125044531528321,0.0,-0.07125044531528321
Comuna 18,SERGIO FAJARDO VALDERRAMA,2213,0,-2213,53333,57695,4.149400933755836,0.0,-4.149400933755836
Comuna 18,SONDRA MACOLLINS GARVIN PINTO,37,0,-37,53333,57695,0.06937543359645998,0.0,-0.06937543359645998
Comuna 18,VOTO EN BLANCO,1106,921,-185,53333,57695,2.0737629610185064,1.5963255048097753,-0.4774374562087311
Comuna 18,ÓSCAR MAURICIO LIZCANO ARANGO,63,0,-63,53333,57695,0.11812573828586428,0.0,-0.11812573828586428
Comuna 19,ABELARDO DE LA ESPRIELLA,30736,36187,5451,63064,65161,48.73779018140302,55.534752382560114,6.796962201157093
Comuna 19,CLAUDIA LÓPEZ,417,0,-417,63064,65161,0.6612330331092223,0.0,-0.6612330331092223
Comuna 19,GUSTAVO MATAMOROS CAMACHO,14,0,-14,63064,65161,0.02219967017632881,0.0,-0.02219967017632881
Comuna 19,IVÁN CEPEDA CASTRO,22435,27775,5340,63064,65161,35.57497145756692,42.62518991421249,7.050218456645574
Comuna 19,MIGUEL URIBE LONDOÑO,27,0,-27,63064,65161,0.04281364962577699,0.0,-0.04281364962577699
Comuna 19,PALOMA VALENCIA LASERNA,4422,0,-4422,63064,65161,7.011924394266142,0.0,-7.011924394266142
Comuna 19,RAÚL SANTIAGO BOTERO JARAMILLO,172,0,-172,63064,65161,0.2727388050234682,0.0,-0.2727388050234682
Comuna 19,ROY LEONARDO BARRERAS MONTEALEGRE,35,0,-35,63064,65161,0.05549917544082203,0.0,-0.05549917544082203
Comuna 19,SERGIO FAJARDO VALDERRAMA,3904,0,-3904,63064,65161,6.190536597741977,0.0,-6.190536597741977
Comuna 19,SONDRA MACOLLINS GARVIN PINTO,34,0,-34,63064,65161,0.05391348471394139,0.0,-0.05391348471394139
Comuna 19,VOTO EN BLANCO,821,1199,378,63064,65161,1.3018520867689964,1.8400577032273908,0.5382056164583944
Comuna 19,ÓSCAR MAURICIO LIZCANO ARANGO,47,0,-47,63064,65161,0.07452746416338957,0.0,-0.07452746416338957
Comuna 2,ABELARDO DE LA ESPRIELLA,38837,45149,6312,75592,80220,51.37712985501112,56.28147594116181,4.904346086150689
Comuna 2,CLAUDIA LÓPEZ,415,0,-415,75592,80220,0.5489998941686951,0.0,-0.5489998941686951
Comuna 2,GUSTAVO MATAMOROS CAMACHO,5,0,-5,75592,80220,0.006614456556249339,0.0,-0.006614456556249339
Comuna 2,IVÁN CEPEDA CASTRO,25620,33702,8082,75592,80220,33.89247539422161,42.01196709050112,8.11949169627951
Comuna 2,MIGUEL URIBE LONDOÑO,19,0,-19,75592,80220,0.025134934913747485,0.0,-0.025134934913747485
Comuna 2,PALOMA VALENCIA LASERNA,4896,0,-4896,75592,80220,6.476875859879352,0.0,-6.476875859879352
