_valle,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,ASTECA,45,40040,9935,49975,0.09004502251125564
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,C.C. DE LA COMUNIDAD NEGRA DE LA VEREDA EL ESFUERZO,1381,40040,9935,49975,2.7633816908454225
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,COCOPEMA,167,40040,9935,49975,0.3341670835417709
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,COMUNIDAD AFROCOLOMBIANA DE LA SIERRA NEVADA,173,40040,9935,49975,0.34617308654327167
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO AFROZABALETAS,357,40040,9935,49975,0.7143571785892947
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO AFROÉTNICO DE RISARALDA,148,40040,9935,49975,0.29614807403701854
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO ALTO MIRA Y FRONTERA,43,40040,9935,49975,0.08604302151075538
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO CASIMIRO MEZA MENDOZA-COCONEBO,34,40040,9935,49975,0.06803401700850426
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE COMUNIDADES NEGRAS CUENCA RÍO OVEJAS,2399,40040,9935,49975,4.80040020010005
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE CÉRTEGUI,68,40040,9935,49975,0.1360680340170085
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE LIMONES,5781,40040,9935,49975,11.567783891945973
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,"CONSEJO COMUNITARIO DE PIZARRO ""CONCOPI""",637,40040,9935,49975,1.2746373186593296
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE QUINAMAYO,407,40040,9935,49975,0.8144072036018009
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,"CONSEJO COMUNITARIO DE TRUANDO - LA TERESITA ""COCOTRUMETE""",57,40040,9935,49975,0.11405702851425713
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO EL NARANJO,13729,40040,9935,49975,27.471735867933965
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,"CONSEJO COMUNITARIO INTEGRAL DE LLORÓ ""COCOILLO""",34,40040,9935,49975,0.06803401700850426
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO KUSUTOMA - GENDE COKUMALU,123,40040,9935,49975,0.24612306153076538
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO LA GRAN VÍA DE LOS REMEDIOS,4098,40040,9935,49975,8.200100050025013
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO MANUEL ZAPATA OLIVELLA DE SAN ANTERO,1782,40040,9935,49975,3.5657828914457226
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO NEGROS UNIDOS,63,40040,9935,49975,0.12606303151575787
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO NUEVA ESPERANZA,178,40040,9935,49975,0.35617808904452225
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO PANAMÁ DE ARAUCA,23,40040,9935,49975,0.04602301150575288
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO RÍO DE GUADUAS - CHIGORODÓ,161,40040,9935,49975,0.32216108054027015
VALLE DEL CAUCA,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO UNIÍN DEL RÍO ROSARIO,167,40040,9935,49975,0.3341670835417709
