municipio_codigo,municipio,zona,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
001,CALI,01,Congreso 2026,Senado,NA,4,ASOCIACIÓN DE CABILDOS INDÍGENAS POR COLOMBIA,1,37,25.0,62.0,1.6129032258064515
001,CALI,01,Congreso 2026,Senado,NA,4,"ASOCIACIÓN NACIONAL INDÍGENA DE COLOMBIA ""ANIC""",2,37,25.0,62.0,3.225806451612903
001,CALI,01,Congreso 2026,Senado,NA,4,CABILDO INDÉGENA TEVIS,1,37,25.0,62.0,1.6129032258064515
001,CALI,01,Congreso 2026,Senado,NA,4,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",10,37,25.0,62.0,16.129032258064516
001,CALI,01,Congreso 2026,Senado,NA,4,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",8,37,25.0,62.0,12.903225806451612
001,CALI,01,Congreso 2026,Senado,NA,4,MOVIMIENTO SI,3,37,25.0,62.0,4.838709677419355
001,CALI,01,Congreso 2026,Senado,NA,4,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,6,37,25.0,62.0,9.67741935483871
001,CALI,01,Presidencia 2026,Presidencia,1V,0,ABELARDO DE LA ESPRIELLA,6037,22669,533.0,23202.0,26.01930868028618
001,CALI,01,Presidencia 2026,Presidencia,1V,0,CLAUDIA LÓPEZ,148,22669,533.0,23202.0,0.6378760451685199
001,CALI,01,Presidencia 2026,Presidencia,1V,0,GUSTAVO MATAMOROS CAMACHO,5,22669,533.0,23202.0,0.021549866390828377
001,CALI,01,Presidencia 2026,Presidencia,1V,0,IVÁN CEPEDA CASTRO,14283,22669,533.0,23202.0,61.559348332040344
001,CALI,01,Presidencia 2026,Presidencia,1V,0,MIGUEL URIBE LONDOÑO,22,22669,533.0,23202.0,0.09481941211964486
001,CALI,01,Presidencia 2026,Presidencia,1V,0,PALOMA VALENCIA LASERNA,1120,22669,533.0,23202.0,4.827170071545557
001,CALI,01,Presidencia 2026,Presidencia,1V,0,RAÚL SANTIAGO BOTERO JARAMILLO,133,22669,533.0,23202.0,0.5732264459960348
001,CALI,01,Presidencia 2026,Presidencia,1V,0,ROY LEONARDO BARRERAS MONTEALEGRE,17,22669,533.0,23202.0,0.07326954572881648
001,CALI,01,Presidencia 2026,Presidencia,1V,0,SERGIO FAJARDO VALDERRAMA,845,22669,533.0,23202.0,3.641927420049996
001,CALI,01,Presidencia 2026,Presidencia,1V,0,SONDRA MACOLLINS GARVIN PINTO,23,22669,533.0,23202.0,0.09912938539781053
001,CALI,01,Presidencia 2026,Presidencia,1V,0,ÓSCAR MAURICIO LIZCANO ARANGO,36,22669,533.0,23202.0,0.1551590380139643
001,CALI,01,Presidencia 2026,Presidencia,2V,0,ABELARDO DE LA ESPRIELLA,7425,25605,406.0,26011.0,28.545615316596823
001,CALI,01,Presidencia 2026,Presidencia,2V,0,IVÁN CEPEDA CASTRO,18180,25605,406.0,26011.0,69.89350659336434
001,CALI,02,Congreso 2026,Consultas,NA,0,"CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN",728,17328,0.0,17328.0,4.20129270544783
001,CALI,02,Congreso 2026,Consultas,NA,0,FRENTE POR LA VIDA,1388,17328,0.0,17328.0,8.010156971375809
001,CALI,02,Congreso 2026,Consultas,NA,0,LA GRAN CONSULTA POR COLOMBIA,15212,17328,0.0,17328.0,87.78855032317637
001,CALI,02,Congreso 2026,Cámara,NA,1,AHORA COLOMBIA,1590,29150,669.0,29819.0,5.332170763607096
001,CALI,02,Congreso 2026,Cámara,NA,1,COALICIÓN FUERZA CIUDADANA,54,29150,669.0,29819.0,0.18109259197156174
001,CALI,02,Congreso 2026,Cámara,NA,1,COALICIÓN LIBERAL - COLOMBIA RENACIENTE,1648,29150,669.0,29819.0,5.5266776216506255
001,CALI,02,Congreso 2026,Cámara,NA,1,CR-CJL-LIGA DE GOBERNANTES,1781,29150,669.0,29819.0,5.972701968543546
001,CALI,02,Congreso 2026,Cámara,NA,1,FRENTE AMPLIO UNITARIO,128,29150,669.0,29819.0,0.42925651430296125
001,CALI,02,Congreso 2026,Cámara,NA,1,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",14,29150,669.0,29819.0,0.04694993125188638
001,CALI,02,Congreso 2026,Cámara,NA,1,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,7997,29150,669.0,29819.0,26.818471444381096
001,CALI,02,Congreso 2026,Cámara,NA,1,MOVIMIENTO SALVACIÓN NACIONAL,2085,29150,669.0,29819.0,6.992186190013079
001,CALI,02,Congreso 2026,Cámara,NA,1,PARTIDO ALIANZA VERDE,1136,29150,669.0,29819.0,3.8096515644387803
001,CALI,02,Congreso 2026,Cámara,NA,1,PARTIDO CENTRO DEMOCRÁTICO,9759,29150,669.0,29819.0,32.7274556490828
001,CALI,02,Congreso 2026,Cámara,NA,1,PARTIDO CONSERVADOR COLOMBIANO,828,29150,669.0,29819.0,2.7767530768972803
001,CALI,02,Congreso 2026,Cámara,NA,1,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,2044,29150,669.0,29819.0,6.854689962775412
001,CALI,02,Congreso 2026,Cámara,NA,1,PARTIDO DEMÓCRATA COLOMBIANO,48,29150,669.0,29819.0,0.16097119286361045
001,CALI,02,Congreso 2026,Cámara,NA,1,PARTIDO POLÍTICO OXÍGENO,38,29150,669.0,29819.0,0.1274355276836916
