territorio_nombre,eleccion,corporacion,vuelta,circunscripcion,unidad,votos,votos_candidatos,blancos,validos,pct_validos
Corregimiento Navarro,Presidencia 2026,Presidencia,1V,0,RAÚL SANTIAGO BOTERO JARAMILLO,14,1187,37.0,1224.0,1.1437908496732025
Corregimiento Navarro,Presidencia 2026,Presidencia,1V,0,ROY LEONARDO BARRERAS MONTEALEGRE,3,1187,37.0,1224.0,0.24509803921568626
Corregimiento Navarro,Presidencia 2026,Presidencia,1V,0,SERGIO FAJARDO VALDERRAMA,16,1187,37.0,1224.0,1.3071895424836601
Corregimiento Navarro,Presidencia 2026,Presidencia,1V,0,ÓSCAR MAURICIO LIZCANO ARANGO,5,1187,37.0,1224.0,0.40849673202614384
Corregimiento Navarro,Presidencia 2026,Presidencia,2V,0,ABELARDO DE LA ESPRIELLA,372,1563,28.0,1591.0,23.38152105593966
Corregimiento Navarro,Presidencia 2026,Presidencia,2V,0,IVÁN CEPEDA CASTRO,1191,1563,28.0,1591.0,74.8585795097423
Corregimiento Pance,Congreso 2026,Consultas,NA,0,"CONSULTA DE LAS SOLUCIONES: SALUD, SEGURIDAD Y EDUCACIÓN",52,1294,0.0,1294.0,4.01854714064915
Corregimiento Pance,Congreso 2026,Consultas,NA,0,FRENTE POR LA VIDA,94,1294,0.0,1294.0,7.2642967542503865
Corregimiento Pance,Congreso 2026,Consultas,NA,0,LA GRAN CONSULTA POR COLOMBIA,1148,1294,0.0,1294.0,88.71715610510046
Corregimiento Pance,Congreso 2026,Cámara,NA,1,AHORA COLOMBIA,90,2061,39.0,2100.0,4.285714285714286
Corregimiento Pance,Congreso 2026,Cámara,NA,1,COALICIÓN FUERZA CIUDADANA,2,2061,39.0,2100.0,0.09523809523809523
Corregimiento Pance,Congreso 2026,Cámara,NA,1,COALICIÓN LIBERAL - COLOMBIA RENACIENTE,96,2061,39.0,2100.0,4.571428571428571
Corregimiento Pance,Congreso 2026,Cámara,NA,1,CR-CJL-LIGA DE GOBERNANTES,122,2061,39.0,2100.0,5.809523809523809
Corregimiento Pance,Congreso 2026,Cámara,NA,1,FRENTE AMPLIO UNITARIO,4,2061,39.0,2100.0,0.19047619047619047
Corregimiento Pance,Congreso 2026,Cámara,NA,1,"MOVIMIENTO AUTORIDADES INDÍGENAS DE COLOMBIA ""AICO""",2,2061,39.0,2100.0,0.09523809523809523
Corregimiento Pance,Congreso 2026,Cámara,NA,1,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,385,2061,39.0,2100.0,18.333333333333332
Corregimiento Pance,Congreso 2026,Cámara,NA,1,MOVIMIENTO SALVACIÓN NACIONAL,170,2061,39.0,2100.0,8.095238095238095
Corregimiento Pance,Congreso 2026,Cámara,NA,1,PARTIDO ALIANZA VERDE,77,2061,39.0,2100.0,3.6666666666666665
Corregimiento Pance,Congreso 2026,Cámara,NA,1,PARTIDO CENTRO DEMOCRÁTICO,861,2061,39.0,2100.0,41.0
Corregimiento Pance,Congreso 2026,Cámara,NA,1,PARTIDO CONSERVADOR COLOMBIANO,59,2061,39.0,2100.0,2.8095238095238098
Corregimiento Pance,Congreso 2026,Cámara,NA,1,PARTIDO DE LA UNIÓN POR LA GENTE - PARTIDO DE LA U,185,2061,39.0,2100.0,8.80952380952381
Corregimiento Pance,Congreso 2026,Cámara,NA,1,PARTIDO DEMÓCRATA COLOMBIANO,6,2061,39.0,2100.0,0.2857142857142857
Corregimiento Pance,Congreso 2026,Cámara,NA,1,PARTIDO POLÍTICO OXÍGENO,2,2061,39.0,2100.0,0.09523809523809523
Corregimiento Pance,Congreso 2026,Cámara,NA,4,ASOCIACIÓN DE CABILDOS INDÍGENAS ZENÚ ORICO,1,13,2.0,15.0,6.666666666666667
Corregimiento Pance,Congreso 2026,Cámara,NA,4,"MOVIMIENTO ALTERNATIVO INDÍGENA Y SOCIAL ""MAIS""",5,13,2.0,15.0,33.33333333333333
Corregimiento Pance,Congreso 2026,Cámara,NA,4,MOVIMIENTO UNIDAD EN MINGA POR COLOMBIA,7,13,2.0,15.0,46.666666666666664
Corregimiento Pance,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO DE LA COMUNIDAD NEGRA DE LIMONES,1,41,5.0,46.0,2.1739130434782608
Corregimiento Pance,Congreso 2026,Cámara,NA,5,CONSEJO COMUNITARIO EL NARANJO,13,41,5.0,46.0,28.26086956521739
